a_volt,b_volt,c_volt,a_current,b_current,c_current
-242.29,133.604,207.042,1334,2220,-2216
-242.29,137.484,203.691,1314,2217,-2218
-242.29,141.357,200.289,1289,2211,-2222
-242.29,145.201,196.857,1269,2209,-2221
-242.29,149.022,193.403,1246,2204,-2224
-242.29,152.828,189.934,1223,2200,-2227
-242.29,156.597,186.413,1199,2197,-2228
-242.29,160.336,182.87,1175,2191,-2230
-242.29,164.076,179.298,1152,2185,-2231
-242.29,167.785,175.704,1128,2177,-2231
-242.29,171.458,172.08,1105,2172,-2230
-242.29,175.1,168.441,1083,2168,-2229
-242.29,178.736,164.773,1059,2158,-2230
-242.29,182.341,161.061,1033,2152,-2231
-242.29,185.902,157.341,1008,2145,-2229
-242.29,189.448,153.614,983,2136,-2228
-242.29,192.957,149.835,960,2127,-2223
-242.29,196.451,146.034,939,2118,-2219
-242.29,199.908,142.233,912,2112,-2217
-242.29,203.32,138.387,887,2103,-2214
-242.29,206.725,134.535,861,2094,-2213
-242.29,210.092,130.674,834,2084,-2210
-242.29,213.437,126.763,808,2073,-2207
-242.29,216.716,122.851,784,2062,-2202
-242.29,220.009,118.917,763,2051,-2194
-242.29,223.221,114.946,736,2041,-2189
-242.29,226.439,110.983,708,2031,-2187
-242.29,229.591,107.005,683,2019,-2180
-242.29,232.721,102.997,655,2005,-2175
-242.29,235.843,98.9746,629,1993,-2169
-242.29,238.832,94.9447,606,1980,-2159
-242.29,242.029,90.9001,578,1966,-2155
-242.29,243.59,86.8334,553,1954,-2148
-242.29,243.56,82.7593,528,1943,-2139
-242.29,243.59,78.6704,499,1930,-2132
-242.29,243.59,74.5594,473,1915,-2124
-242.29,243.59,70.4631,444,1899,-2116
-242.29,243.59,66.3447,418,1886,-2107
-242.29,243.582,62.2189,393,1871,-2098
-242.29,243.59,58.0784,366,1854,-2089
-242.29,243.59,53.9231,340,1840,-2078
-242.29,243.59,49.7751,313,1825,-2068
-242.29,243.59,45.6051,285,1809,-2058
-242.29,243.59,41.435,258,1793,-2048
-242.29,243.59,37.2649,232,1775,-2036
-242.29,243.59,33.0727,207,1758,-2024
-242.29,243.59,28.8805,181,1741,-2012
-242.29,243.59,24.6957,155,1725,-1999
-242.29,243.59,20.5108,131,1708,-1987
-242.29,243.59,16.3112,105,1687,-1975
-242.29,243.59,12.0969,78,1672,-1963
-242.29,243.59,7.8973,54,1654,-1950
-242.29,243.59,3.69033,32,1633,-1935
-242.29,243.59,-0.524026,6,1616,-1922
-242.29,243.59,-4.71624,-22,1597,-1907
-242.29,243.59,-8.91583,-58,1578,-1895
-242.29,243.59,-13.1154,-106,1558,-1883
-242.29,243.59,-17.315,-147,1538,-1866
-242.29,243.59,-21.5072,-173,1517,-1851
-242.29,243.59,-25.6994,-187,1496,-1834
-242.29,243.59,-29.899,-204,1476,-1817
-242.29,243.59,-34.0691,-229,1455,-1801
-242.29,243.59,-38.2465,-259,1435,-1785
-242.29,243.59,-42.424,-291,1415,-1770
-242.29,243.59,-46.5793,-316,1394,-1752
-242.29,243.59,-50.742,-342,1370,-1735
-242.29,243.59,-54.9047,-371,1348,-1719
-242.29,243.59,-59.0378,-396,1327,-1699
-242.283,243.59,-63.171,-423,1306,-1682
-242.29,243.59,-67.2968,-451,1285,-1664
-242.268,243.59,-71.4078,-478,1262,-1647
-242.29,243.59,-75.5188,-507,1238,-1629
-242.268,243.59,-79.6299,-535,1214,-1610
-242.29,243.59,-83.7261,-560,1190,-1591
-242.157,243.59,-87.7781,-583,1168,-1569
-239.872,243.59,-91.8227,-609,1147,-1550
-236.663,243.59,-95.8525,-637,1123,-1532
-233.705,243.59,-99.8898,-661,1097,-1510
-230.555,243.59,-103.905,-688,1073,-1491
-227.494,243.59,-107.905,-716,1048,-1471
-224.322,243.59,-111.898,-739,1024,-1449
-221.143,243.59,-115.839,-765,1001,-1428
-217.919,243.59,-119.795,-790,977,-1407
-214.643,243.59,-123.729,-817,954,-1386
-211.383,243.59,-127.641,-844,928,-1365
-208.048,243.59,-131.545,-869,902,-1344
-204.72,243.59,-135.413,-894,875,-1323
-201.334,243.59,-139.266,-919,851,-1300
-197.933,243.59,-143.089,-943,829,-1276
-194.502,243.59,-146.897,-966,800,-1254
-191.019,243.59,-150.691,-991,774,-1232
-187.529,243.59,-154.455,-1017,749,-1209
-184.017,243.59,-158.182,-1041,722,-1186
-180.49,243.59,-161.902,-1066,697,-1162
-176.919,243.59,-165.607,-1088,669,-1138
-173.325,243.59,-169.268,-1111,644,-1113
-169.687,243.59,-172.914,-1135,619,-1089
-165.998,243.59,-176.53,-1158,593,-1066
-162.256,243.59,-180.117,-1185,567,-1042
-158.478,243.59,-183.682,-1207,540,-1019
-154.699,243.59,-187.21,-1230,514,-996
-150.965,243.59,-190.716,-1251,488,-969
-147.209,243.59,-194.207,-1272,460,-944
-143.446,243.59,-197.654,-1296,433,-920
-139.645,243.59,-201.064,-1317,407,-894
-135.778,243.59,-204.466,-1340,380,-870
-131.859,243.59,-207.81,-1364,351,-845
-127.94,243.59,-211.146,-1384,325,-819
-124.029,243.59,-214.43,-1405,298,-794
-120.117,243.59,-217.707,-1425,270,-767
-116.213,243.59,-220.925,-1445,244,-741
-112.265,243.59,-224.121,-1467,219,-716
-108.279,243.59,-227.287,-1487,194,-690
-104.257,243.59,-230.387,-1509,166,-665
